Date : 2021-01-03 01:21:42
Directory : g:\Quartz
Total : 137 files,  15293 codes, 149 comments, 794 blanks, all 16236 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundBinaryOperator.cs                                  | C#         |         61 |          0 |         14 |         75 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundBinaryOperatorKind.cs                              | C#         |         21 |          0 |          0 |         21 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundBlockStatement.cs                                  | C#         |         13 |          0 |          4 |         17 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundConditionalGotoStatement.cs                        | C#         |         16 |          0 |          2 |         18 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundExpression.cs                                      | C#         |          8 |          0 |          1 |          9 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundExpressionStatement.cs                             | C#         |         12 |          0 |          4 |         16 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundForStatement.cs                                    | C#         |         18 |          0 |          3 |         21 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundGlobalScope.cs                                     | C#         |         18 |          0 |          2 |         20 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundGotoStatement.cs                                   | C#         |         12 |          0 |          2 |         14 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundIfStatement.cs                                     | C#         |         16 |          0 |          2 |         18 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundLabelStatement.cs                                  | C#         |         12 |          0 |          2 |         14 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundLiteralExpression.cs                               | C#         |         14 |          0 |          3 |         17 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundNode.cs                                            | C#         |        116 |          0 |         36 |        152 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundNodeKind.cs                                        | C#         |         20 |          2 |          1 |         23 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundScope.cs                                           | C#         |         33 |          0 |          8 |         41 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundStatement.cs                                       | C#         |          6 |          0 |          0 |          6 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundTreeRewriter.cs                                    | C#         |        164 |          2 |         40 |        206 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundUnaryExpression.cs                                 | C#         |         16 |          0 |          3 |         19 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundUnaryOperator.cs                                   | C#         |         38 |          0 |          6 |         44 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundUnaryOperatorKind.cs                               | C#         |         10 |          0 |          0 |         10 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundVariableDeclaration.cs                             | C#         |         14 |          0 |          2 |         16 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundVariableExpression.cs                              | C#         |         14 |          0 |          2 |         16 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundWhileStatement.cs                                  | C#         |         14 |          0 |          2 |         16 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Compilation.cs                                                  | C#         |         61 |          0 |         10 |         71 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Diagnostic.cs                                                   | C#         |         15 |          0 |          2 |         17 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\DiagnosticBag.cs                                                | C#         |         69 |          0 |         13 |         82 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\EvaluationResult.cs                                             | C#         |         14 |          0 |          4 |         18 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Evaluator.cs                                                    | C#         |        168 |          0 |         43 |        211 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\LabelSymbol.cs                                                  | C#         |         12 |          0 |          2 |         14 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Lowering\Lowerer.cs                                             | C#         |        121 |         46 |         28 |        195 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\AssignmentExpressionSyntax.cs                            | C#         |         16 |          0 |          2 |         18 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\BinaryExpressionSyntax.cs                                | C#         |         16 |          0 |          1 |         17 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\BlockStatementSyntax.cs                                  | C#         |         17 |          0 |          3 |         20 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\CompilationUnitSyntax.cs                                 | C#         |         14 |          0 |          2 |         16 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\ElseClauseSyntax.cs                                      | C#         |         14 |          0 |          2 |         16 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\ExpressionStatementSyntax.cs                             | C#         |         12 |          0 |          4 |         16 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\ExpressionSyntax.cs                                      | C#         |          6 |          0 |          1 |          7 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\ForStatementSyntax.cs                                    | C#         |         24 |          0 |          3 |         27 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\IfStatementSyntax.cs                                     | C#         |         18 |          0 |          1 |         19 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\Lexer.cs                                                 | C#         |        203 |          0 |         26 |        229 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\LiteralExpressionSyntax.cs                               | C#         |         17 |          0 |          2 |         19 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\NameExpressionSyntax.cs                                  | C#         |         12 |          0 |          2 |         14 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\ParenthesizedExpressionSyntax.cs                         | C#         |         16 |          0 |          2 |         18 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\Parser.cs                                                | C#         |        219 |          0 |         51 |        270 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\StatementSyntax.cs                                       | C#         |          6 |          0 |          1 |          7 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\SyntaxFacts.cs                                           | C#         |        163 |          0 |         28 |        191 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\SyntaxKind.cs                                            | C#         |         56 |          8 |          8 |         72 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\SyntaxNode.cs                                            | C#         |         84 |          0 |         20 |        104 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\SyntaxToken.cs                                           | C#         |         20 |          0 |          4 |         24 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\SyntaxTree.cs                                            | C#         |         46 |          0 |          9 |         55 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\UnaryExpressionSyntax.cs                                 | C#         |         14 |          0 |          2 |         16 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\VariableDeclarationSyntax.cs                             | C#         |         18 |          0 |          4 |         22 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Syntax\WhileStatementSyntax.cs                                  | C#         |         16 |          0 |          2 |         18 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\VariableSymbol.cs                                               | C#         |         17 |          0 |          3 |         20 |
| g:\Quartz\src\WSC.Lib\Text\SourceText.cs                                                           | C#         |         84 |          0 |         25 |        109 |
| g:\Quartz\src\WSC.Lib\Text\TextLine.cs                                                             | C#         |         21 |          0 |          1 |         22 |
| g:\Quartz\src\WSC.Lib\Text\TextSpan.cs                                                             | C#         |         20 |          0 |          3 |         23 |
| g:\Quartz\src\WSC.Lib\WSC.Lib.csproj                                                               | XML        |          9 |          0 |          4 |         13 |
| g:\Quartz\src\WSC.Lib\bin\Debug\net5.0\WSC.Lib.deps.json                                           | JSON       |         34 |          0 |          0 |         34 |
| g:\Quartz\src\WSC.Lib\bin\Debug\net5.0\wsc-lib.deps.json                                           | JSON       |         34 |          0 |          0 |         34 |
| g:\Quartz\src\WSC.Lib\bin\Release\net5.0\WSC.Lib.deps.json                                         | JSON       |         34 |          0 |          0 |         34 |
| g:\Quartz\src\WSC.Lib\bin\Release\net5.0\win-x64\WSC.Lib.deps.json                                 | JSON       |         35 |          0 |          0 |         35 |
| g:\Quartz\src\WSC.Lib\obj\Debug\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs              | C#         |          3 |          1 |          1 |          5 |
| g:\Quartz\src\WSC.Lib\obj\Debug\net5.0\WSC.Lib.AssemblyInfo.cs                                     | C#         |          9 |          9 |          5 |         23 |
| g:\Quartz\src\WSC.Lib\obj\Debug\net5.0\WSC.Lib.GeneratedMSBuildEditorConfig.editorconfig           | Properties |          8 |          0 |          1 |          9 |
| g:\Quartz\src\WSC.Lib\obj\Debug\net5.0\wsc-lib.AssemblyInfo.cs                                     | C#         |          9 |          9 |          5 |         23 |
| g:\Quartz\src\WSC.Lib\obj\Debug\net5.0\wsc-lib.GeneratedMSBuildEditorConfig.editorconfig           | Properties |          8 |          0 |          1 |          9 |
| g:\Quartz\src\WSC.Lib\obj\Release\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs            | C#         |          3 |          1 |          1 |          5 |
| g:\Quartz\src\WSC.Lib\obj\Release\net5.0\WSC.Lib.AssemblyInfo.cs                                   | C#         |          9 |          9 |          5 |         23 |
| g:\Quartz\src\WSC.Lib\obj\Release\net5.0\WSC.Lib.GeneratedMSBuildEditorConfig.editorconfig         | Properties |          8 |          0 |          1 |          9 |
| g:\Quartz\src\WSC.Lib\obj\Release\net5.0\win-x64\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs    | C#         |          3 |          1 |          1 |          5 |
| g:\Quartz\src\WSC.Lib\obj\Release\net5.0\win-x64\WSC.Lib.AssemblyInfo.cs                           | C#         |          9 |          9 |          5 |         23 |
| g:\Quartz\src\WSC.Lib\obj\Release\net5.0\win-x64\WSC.Lib.GeneratedMSBuildEditorConfig.editorconfig | Properties |          8 |          0 |          1 |          9 |
| g:\Quartz\src\WSC.Lib\obj\WSC.Lib.csproj.nuget.dgspec.json                                         | JSON       |         74 |          0 |          0 |         74 |
| g:\Quartz\src\WSC.Lib\obj\WSC.Lib.csproj.nuget.g.props                                             | XML        |         18 |          0 |          0 |         18 |
| g:\Quartz\src\WSC.Lib\obj\WSC.Lib.csproj.nuget.g.targets                                           | XML        |          6 |          0 |          0 |          6 |
| g:\Quartz\src\WSC.Lib\obj\project.assets.json                                                      | JSON       |        119 |          0 |          0 |        119 |
| g:\Quartz\src\WSC.Lib\obj\project.packagespec.json                                                 | JSON       |          1 |          0 |          0 |          1 |
| g:\Quartz\src\WSC.Lib\obj\wsc-lib.csproj.nuget.dgspec.json                                         | JSON       |         74 |          0 |          0 |         74 |
| g:\Quartz\src\WSC.Lib\obj\wsc-lib.csproj.nuget.g.props                                             | XML        |         18 |          0 |          0 |         18 |
| g:\Quartz\src\WSC.Lib\obj\wsc-lib.csproj.nuget.g.targets                                           | XML        |          6 |          0 |          0 |          6 |
| g:\Quartz\src\WSC.Tests\CodeAnalysis\AnnotatedText.cs                                              | C#         |         89 |          0 |         17 |        106 |
| g:\Quartz\src\WSC.Tests\CodeAnalysis\EvaluationTests.cs                                            | C#         |        116 |          0 |         26 |        142 |
| g:\Quartz\src\WSC.Tests\CodeAnalysis\Syntax\AssertingEnumerator.cs                                 | C#         |         67 |          0 |         10 |         77 |
| g:\Quartz\src\WSC.Tests\CodeAnalysis\Syntax\LexerTests.cs                                          | C#         |        167 |          0 |         43 |        210 |
| g:\Quartz\src\WSC.Tests\CodeAnalysis\Syntax\ParserTests.cs                                         | C#         |        118 |         20 |         15 |        153 |
| g:\Quartz\src\WSC.Tests\CodeAnalysis\Syntax\SyntaxFactTests.cs                                     | C#         |         28 |          0 |          4 |         32 |
| g:\Quartz\src\WSC.Tests\CodeAnalysis\Text\SourceTextTests.cs                                       | C#         |         17 |          0 |          1 |         18 |
| g:\Quartz\src\WSC.Tests\WSC.Tests.csproj                                                           | XML        |         21 |          0 |          6 |         27 |
| g:\Quartz\src\WSC.Tests\bin\Debug\net5.0\WSC.Tests.deps.json                                       | JSON       |      1,758 |          0 |          0 |      1,758 |
| g:\Quartz\src\WSC.Tests\bin\Debug\net5.0\WSC.Tests.runtimeconfig.dev.json                          | JSON       |          9 |          0 |          0 |          9 |
| g:\Quartz\src\WSC.Tests\bin\Debug\net5.0\WSC.Tests.runtimeconfig.json                              | JSON       |          9 |          0 |          0 |          9 |
| g:\Quartz\src\WSC.Tests\obj\Debug\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs            | C#         |          3 |          1 |          1 |          5 |
| g:\Quartz\src\WSC.Tests\obj\Debug\net5.0\WSC.Tests.AssemblyInfo.cs                                 | C#         |          9 |          9 |          5 |         23 |
| g:\Quartz\src\WSC.Tests\obj\Debug\net5.0\WSC.Tests.GeneratedMSBuildEditorConfig.editorconfig       | Properties |          8 |          0 |          1 |          9 |
| g:\Quartz\src\WSC.Tests\obj\WSC.Tests.csproj.nuget.dgspec.json                                     | JSON       |        160 |          0 |          0 |        160 |
| g:\Quartz\src\WSC.Tests\obj\WSC.Tests.csproj.nuget.g.props                                         | XML        |         29 |          0 |          0 |         29 |
| g:\Quartz\src\WSC.Tests\obj\WSC.Tests.csproj.nuget.g.targets                                       | XML        |         12 |          0 |          0 |         12 |
| g:\Quartz\src\WSC.Tests\obj\project.assets.json                                                    | JSON       |      5,699 |          0 |          0 |      5,699 |
| g:\Quartz\src\WSC.Tests\obj\project.packagespec.json                                               | JSON       |          1 |          0 |          0 |          1 |
| g:\Quartz\src\WSC\.idea\.idea.wsc.dir\.idea\riderModule.iml                                        | XML        |          7 |          0 |          0 |          7 |
| g:\Quartz\src\WSC\.idea\.idea.wsc\.idea\riderModule.iml                                            | XML        |          7 |          0 |          0 |          7 |
| g:\Quartz\src\WSC\Program.cs                                                                       | C#         |         12 |          0 |          1 |         13 |
| g:\Quartz\src\WSC\Repl.cs                                                                          | C#         |        345 |          0 |         60 |        405 |
| g:\Quartz\src\WSC\VivianRepl.cs                                                                    | C#         |        116 |          1 |         28 |        145 |
| g:\Quartz\src\WSC\WSC.csproj                                                                       | XML        |         10 |          0 |          4 |         14 |
| g:\Quartz\src\WSC\bin\Debug\net5.0\WSC.deps.json                                                   | JSON       |         47 |          0 |          0 |         47 |
| g:\Quartz\src\WSC\bin\Debug\net5.0\WSC.runtimeconfig.dev.json                                      | JSON       |          9 |          0 |          0 |          9 |
| g:\Quartz\src\WSC\bin\Debug\net5.0\WSC.runtimeconfig.json                                          | JSON       |          9 |          0 |          0 |          9 |
| g:\Quartz\src\WSC\bin\Release\net5.0\win-x64\WSC.deps.json                                         | JSON       |      1,008 |          0 |          0 |      1,008 |
| g:\Quartz\src\WSC\bin\Release\net5.0\win-x64\WSC.runtimeconfig.dev.json                            | JSON       |          9 |          0 |          0 |          9 |
| g:\Quartz\src\WSC\bin\Release\net5.0\win-x64\WSC.runtimeconfig.json                                | JSON       |         11 |          0 |          0 |         11 |
| g:\Quartz\src\WSC\builds\WSC.deps.json                                                             | JSON       |      1,008 |          0 |          0 |      1,008 |
| g:\Quartz\src\WSC\builds\WSC.runtimeconfig.json                                                    | JSON       |         11 |          0 |          0 |         11 |
| g:\Quartz\src\WSC\obj\Debug\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs                  | C#         |          3 |          1 |          1 |          5 |
| g:\Quartz\src\WSC\obj\Debug\net5.0\WSC.AssemblyInfo.cs                                             | C#         |          9 |          9 |          5 |         23 |
| g:\Quartz\src\WSC\obj\Debug\net5.0\WSC.GeneratedMSBuildEditorConfig.editorconfig                   | Properties |          8 |          0 |          1 |          9 |
| g:\Quartz\src\WSC\obj\Release\net5.0\win-x64\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs        | C#         |          3 |          1 |          1 |          5 |
| g:\Quartz\src\WSC\obj\Release\net5.0\win-x64\WSC.AssemblyInfo.cs                                   | C#         |          9 |          9 |          5 |         23 |
| g:\Quartz\src\WSC\obj\Release\net5.0\win-x64\WSC.GeneratedMSBuildEditorConfig.editorconfig         | Properties |          8 |          0 |          1 |          9 |
| g:\Quartz\src\WSC\obj\Release\net5.0\win-x64\WSC.deps.json                                         | JSON       |        855 |          0 |          0 |        855 |
| g:\Quartz\src\WSC\obj\WSC.csproj.nuget.dgspec.json                                                 | JSON       |        138 |          0 |          0 |        138 |
| g:\Quartz\src\WSC\obj\WSC.csproj.nuget.g.props                                                     | XML        |         18 |          0 |          0 |         18 |
| g:\Quartz\src\WSC\obj\WSC.csproj.nuget.g.targets                                                   | XML        |          6 |          0 |          0 |          6 |
| g:\Quartz\src\WSC\obj\project.assets.json                                                          | JSON       |        135 |          0 |          0 |        135 |
| g:\Quartz\src\WSC\obj\project.packagespec.json                                                     | JSON       |          1 |          0 |          0 |          1 |
| Total                                                                                              |            |     15,293 |        149 |        794 |     16,236 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
